generation,avg_fitness,stdev_fitness,best_fitness,avg_adjusted_fitness,mean_genetic_distance,std_genetic_distance,gen_time
90,57.9382,92.00858,269.73,0.406,1.755,0.866,3.194
91,73.1768,93.13082,269.73,0.297,1.717,0.846,3.192
92,66.2556,94.75741,269.73,0.426,1.8,0.8,3.188
93,61.0722,91.24281,269.73,0.265,1.813,0.789,3.203
94,61.2608,85.07628,269.73,0.274,1.843,0.712,3.191
95,65.2972,89.18444,269.73,0.291,1.967,0.71,3.219
96,59.9114,90.49936,269.73,0.247,1.814,0.753,3.195
97,79.8656,102.63588,269.73,0.326,1.815,0.724,3.194
98,59.2444,87.47068,269.73,0.399,1.832,0.717,3.189
99,65.9296,85.10863,269.73,0.149,1.911,0.549,3.177
31,41.9548,69.47312,269.74,0.2,2.046,0.662,3.165
32,38.2824,66.25219,269.74,0.2,1.967,0.872,3.163
33,48.0778,74.68381,269.74,0.232,2.018,0.877,3.165
34,50.2982,77.14317,269.74,0.228,2.172,0.814,3.178
35,54.3344,72.74205,269.74,0.24,2.154,0.827,3.172
36,58.2498,77.04052,269.74,0.255,2.126,0.809,3.163
37,49.9642,69.53742,269.74,0.227,2.14,0.726,3.185
38,58.6208,74.0881,269.74,0.257,2.124,0.854,3.174
39,52.6222,76.89524,269.74,0.245,2.059,0.864,3.177
40,60.2124,78.45279,269.74,0.264,2.155,0.835,3.193
41,39.7,73.11781,269.74,0.379,2.157,0.814,3.187
42,46.471,72.455,269.74,0.417,2.081,0.865,3.17
43,49.659,72.13392,269.74,0.215,2.072,0.819,3.175
44,53.397,73.33613,269.74,0.226,2.097,0.865,3.168
45,57.3202,71.83991,269.74,0.217,2.182,0.906,3.189
46,41.3764,63.45203,269.74,0.191,2.097,0.85,3.183
47,48.7992,65.74315,269.74,0.186,2.197,0.851,3.175
48,60.7792,75.79559,269.74,0.265,2.288,0.836,3.172
49,50.4722,77.52215,269.74,0.19,2.233,0.898,3.178
50,55.1494,70.28649,269.74,0.208,2.227,0.911,3.177
51,46.59,72.37932,269.74,0.213,1.954,0.972,3.166
52,61.6744,77.76871,269.74,0.232,2.17,0.9,3.179
53,52.4832,70.80566,269.74,0.21,2.161,0.878,3.179
54,48.1254,73.52465,269.74,0.222,2.125,0.842,3.175
55,50.7986,73.13269,269.74,0.223,2.214,0.765,3.171
56,57.5194,73.77248,269.74,0.259,2.235,0.818,3.173
57,60.06039,76.64324,269.74,0.255,2.117,0.881,3.186
58,62.372,75.23918,269.74,0.283,2.126,0.868,3.169
59,49.4626,72.64673,269.74,0.19,2.097,0.873,3.173
60,72.3868,85.75879,269.74,0.267,2.107,0.871,3.174
61,55.44137,79.13937,269.74,0.242,2.127,0.848,3.199
62,62.24592,79.80681,269.74,0.279,2.144,0.802,3.178
63,66.7028,78.50772,269.74,0.254,2.105,0.88,3.177
64,61.53686,78.71956,269.74,0.233,2.1,0.793,3.168
65,61.4602,76.62497,269.74,0.267,2.094,0.742,3.194
66,65.1074,84.92932,269.74,0.28,2.102,0.866,3.187
67,72.20612,87.46541,269.74,0.303,2.145,0.867,3.168
68,65.9128,77.11211,269.74,0.251,2.139,0.83,3.181
69,70.0128,85.75723,269.74,0.297,2.152,0.897,3.174
70,51.54673,78.71724,269.74,0.197,2.12,0.893,3.169
71,61.31306,78.89049,269.74,0.233,2.132,0.921,3.172
72,65.4292,79.01379,269.74,0.282,1.862,0.963,3.177
73,48.817,77.36689,269.74,0.213,1.847,0.995,3.189
74,47.48,74.97131,269.74,0.382,1.864,0.982,3.175
75,36.166,69.89428,269.74,0.179,1.938,0.937,3.186
76,56.233,75.72998,269.74,0.246,2.048,0.893,3.165
77,54.7482,78.20548,269.74,0.237,1.976,0.893,3.177
78,52.7702,77.76255,269.74,0.409,1.975,0.806,3.173
79,50.7178,72.17274,269.74,0.227,2.067,0.886,3.183
80,32.9966,66.88646,269.74,0.17,2.022,0.867,3.217
81,50.7792,66.95959,269.74,0.228,1.938,0.876,3.186
82,41.9012,67.36685,269.74,0.185,1.968,0.809,3.179
83,45.663,72.79483,269.74,0.211,1.869,0.842,3.181
84,50.7062,80.68062,269.74,0.225,1.911,0.813,3.173
85,44.5358,67.69668,269.74,0.209,2.018,0.785,3.179
86,43.9908,71.79178,269.74,0.204,2.026,0.864,3.176
87,46.926,68.5526,269.74,0.182,2.016,0.91,3.183
88,47.8872,76.634,269.74,0.228,1.938,0.956,3.18
89,49.2614,79.21786,269.74,0.224,1.918,0.877,3.174
90,52.8682,73.85745,269.74,0.195,1.993,0.887,3.201
91,55.5128,79.03215,269.74,0.241,1.903,0.91,3.186
92,49.8346,77.7016,269.74,0.224,1.84,0.965,3.2
93,53.5046,74.17495,269.74,0.201,1.874,0.945,3.176
94,59.4846,84.38834,269.74,0.221,1.927,0.885,3.182
95,48.1736,73.42263,269.74,0.216,1.984,0.84,3.178
96,58.8876,87.14052,269.74,0.265,1.965,0.938,3.167
97,66.6082,77.66921,269.74,0.284,2.009,0.875,3.168
98,66.381,79.24847,269.74,0.248,2.065,1.003,3.192
99,53.3962,72.49859,269.74,0.21,1.956,0.949,3.166
0,-18.5914,9.03022,-12.39,0.75,1.397,0.461,60.01
1,-8.7404,18.54522,36.01,0.389,1.582,0.433,60.012
2,16.0702,24.60911,36.49,0.723,1.683,0.441,60.016
3,24.8346,21.52452,36.49,0.842,1.636,0.494,60.019
4,24.4428,21.39262,36.5,0.836,1.665,0.54,60.016
5,27.8652,19.21494,36.5,0.883,1.898,0.633,60.01
6,-56.6082,614.69971,36.5,0.986,2.008,0.599,60.02
7,24.2296,21.29563,36.52,0.831,1.925,0.742,60.017
8,27.8824,19.21632,36.51,0.892,2.083,0.624,60.006
9,30.611,18.82909,81.93,0.569,2.079,0.624,60.016
10,26.4054,25.3034,89.85,0.503,2.039,0.568,60.023
11,28.7894,23.26564,89.85,0.518,1.994,0.558,60.018
12,33.0944,21.58573,89.85,0.556,2.275,0.704,60.008
13,-68.6638,610.40795,89.85,0.966,2.316,0.586,60.018
14,-55.7726,614.42976,159.0,0.952,2.346,0.691,60.009
15,20.1218,41.15571,159.0,0.265,2.237,0.852,60.012
16,-62.09941,605.71634,228.02,0.937,2.275,0.882,60.012
17,-56.13824,609.50284,228.02,0.938,2.261,0.824,60.01
18,41.29255,82.70798,539.73,0.098,2.264,0.85,3.185
19,43.42725,80.19279,539.73,0.1,2.245,0.844,3.181
20,41.3098,85.7227,539.73,0.21,2.177,0.81,3.191
21,44.07816,87.38712,539.73,0.231,2.261,0.753,3.191
22,40.07353,85.91865,539.73,0.215,2.401,0.694,3.178
23,49.7114,89.11898,539.73,0.104,2.462,0.788,3.177
24,49.02392,87.71428,539.73,0.084,2.483,0.707,3.193
25,43.3898,90.08773,539.73,0.059,2.421,0.766,3.183
26,46.0992,91.69748,539.73,0.207,2.405,0.843,3.184
27,54.15898,88.90261,539.73,0.086,2.402,0.891,3.177
28,61.4234,112.35653,539.73,0.218,2.554,0.862,3.189
29,53.90608,104.89506,539.73,0.096,2.352,0.9,3.181
30,56.6622,105.15605,539.73,0.118,2.371,0.873,3.193
31,48.8558,110.44179,539.73,0.102,2.276,0.879,3.183
32,58.5058,113.2519,539.73,0.119,2.389,0.79,3.197
33,53.46878,110.87779,539.73,0.101,2.401,0.768,3.193
34,62.1292,114.02855,539.73,0.131,2.36,0.778,3.193
35,56.6662,110.61569,539.73,0.122,2.488,0.771,3.189
36,59.8264,106.93605,539.73,0.106,2.443,0.804,3.188
37,55.0102,106.14744,539.73,0.115,1.97,0.663,3.185
38,59.7598,128.32256,539.73,0.14,1.931,0.761,3.196
39,62.1608,128.16917,539.73,0.137,1.922,0.746,3.203
40,63.6668,127.12762,539.73,0.121,2.004,0.69,3.187
